,Title,Released,Year,Rated,Runtime,Genre,Director,Writer,Actors,Language,Country,Ratings,Rotten Tomatoes,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,budget,keywords,Production,Awards,oscar_wins,oscar_nominations,award_wins,award_nominations
0,Jurassic World,2015-06-12,2015,PG-13,124,"['Action', ' Adventure', ' Sci-Fi']",['Colin Trevorrow'],"['Rick Jaffa', ' Amanda Silver', ' Colin Trevorrow']","['Chris Pratt', ' Bryce Dallas Howard', ' Ty Simpkins']",['English'],['United States'],"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",71,59.0,6.9,652983,tt0369610,653406625,150000000,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",15 wins & 58 nominations,0,0,15,58
1,Mad Max: Fury Road,2015-05-15,2015,R,120,"['Action', ' Adventure', ' Sci-Fi']",['George Miller'],"['George Miller', ' Brendan McCarthy', ' Nick Lathouris']","['Tom Hardy', ' Charlize Theron', ' Nicholas Hoult']","['English', ' Russian']",['Australia'],"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",97,90.0,8.1,1020901,tt1392190,154109060,150000000,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia']","['Village Roadshow Pictures', 'Kennedy Miller Productions']",Won 6 Oscars. 247 wins & 234 nominations total,6,0,247,234
2,The Divergent Series: Insurgent,2015-03-20,2015,PG-13,119,"['Action', ' Adventure', ' Sci-Fi']",['Robert Schwentke'],"['Brian Duffield', ' Akiva Goldsman', ' Mark Bomback']","['Shailene Woodley', ' Ansel Elgort', ' Theo James']",['English'],"['United States', ' Canada']","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",28,42.0,6.2,243583,tt2908446,130179072,110000000,"['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future']","['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",4 wins & 18 nominations,0,0,4,18
3,Star Wars: Episode VII - The Force Awakens,2015-12-18,2015,PG-13,138,"['Action', ' Adventure', ' Sci-Fi']",['J.J. Abrams'],"['Lawrence Kasdan', ' J.J. Abrams', ' Michael Arndt']","['Daisy Ridley', ' John Boyega', ' Oscar Isaac']",['English'],['United States'],"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",93,80.0,7.8,941976,tt2488496,936662225,200000000,"['android', 'spaceship', 'jedi', 'space opera', '3d']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",Nominated for 5 Oscars. 64 wins & 139 nominations total,0,5,64,139
4,Furious 7,2015-04-03,2015,PG-13,137,"['Action', ' Crime', ' Thriller']",['James Wan'],"['Chris Morgan', ' Gary Scott Thompson']","['Vin Diesel', ' Paul Walker', ' Dwayne Johnson']","['English', ' Thai', ' Arabic', ' Spanish']","['United States', ' China', ' Japan', ' Canada', ' United Arab Emirates']","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",81,67.0,7.1,396438,tt2820852,353007020,190000000,"['car race', 'speed', 'revenge', 'suspense', 'car']","['Universal Pictures', 'Original Film', 'Media Rights Capital', 'Dentsu', 'One Race Films']",36 wins & 36 nominations,0,0,36,36
5,The Revenant,2016-01-08,2015,R,156,"['Action', ' Adventure', ' Drama']",['Alejandro G. Iñárritu'],"['Mark L. Smith', ' Alejandro G. Iñárritu', ' Michael Punke']","['Leonardo DiCaprio', ' Tom Hardy', ' Will Poulter']","['English', ' Pawnee', ' French']","['Hong Kong', ' Taiwan', ' United States']","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",78,76.0,8.0,819948,tt1663202,183637894,135000000,"['father-son relationship', 'rape', 'based on novel', 'mountains', 'winter']","['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures']",Won 3 Oscars. 91 wins & 188 nominations total,3,0,91,188
6,Terminator Genisys,2015-07-01,2015,PG-13,126,"['Action', ' Adventure', ' Sci-Fi']",['Alan Taylor'],"['Laeta Kalogridis', ' Patrick Lussier', ' James Cameron']","['Arnold Schwarzenegger', ' Jason Clarke', ' Emilia Clarke']","['English', ' Ukrainian']","['United States', ' Canada']","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",26,38.0,6.3,282743,tt1340138,89760956,155000000,"['saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future']","['Paramount Pictures', 'Skydance Productions']",10 nominations,0,0,0,10
7,The Martian,2015-10-02,2015,PG-13,144,"['Adventure', ' Drama', ' Sci-Fi']",['Ridley Scott'],"['Drew Goddard', ' Andy Weir']","['Matt Damon', ' Jessica Chastain', ' Kristen Wiig']","['English', ' Mandarin']","['United States', ' United Kingdom', ' Hungary', ' Jordan']","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",91,80.0,8.0,871734,tt3659388,228433663,108000000,"['based on novel', 'mars', 'nasa', 'isolation', 'botanist']","['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment']",Nominated for 7 Oscars. 40 wins & 200 nominations total,0,7,40,200
8,Minions,2015-07-10,2015,PG,91,"['Animation', ' Adventure', ' Comedy']","['Kyle Balda', ' Pierre Coffin']",['Brian Lynch'],"['Sandra Bullock', ' Jon Hamm', ' Michael Keaton']","['English', ' Spanish']","['United States', ' United Kingdom']","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",55,56.0,6.4,243815,tt2293640,336045770,74000000,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions']","['Universal Pictures', 'Illumination Entertainment']",Nominated for 1 BAFTA Award4 wins & 29 nominations total,0,1,4,29
9,Inside Out,2015-06-19,2015,PG,95,"['Animation', ' Adventure', ' Comedy']","['Pete Docter', ' Ronnie Del Carmen']","['Pete Docter', ' Ronnie Del Carmen', ' Meg LeFauve']","['Amy Poehler', ' Bill Hader', ' Lewis Black']","['English', ' Portuguese']","['United States', ' Japan']","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",98,94.0,8.2,728946,tt2096673,356921711,175000000,"['dream', 'cartoon', 'imaginary friend', 'animation', 'kid']","['Walt Disney Pictures', 'Pixar Animation Studios', 'Walt Disney Studios Motion Pictures']",Won 1 Oscar. 101 wins & 117 nominations total,1,0,101,117
